cartodb_id,details,code,created_at,updated_at,verified,street,facing,details_additional,code_prefix,longitude,latitude,geojson
1,,B17,1353078741755,1355435830510,1,Reibroekstraat,W,,B,3.522875,51.070292,"{""type"":""Point"",""coordinates"":[3.52287,51.07029]}"
2,"Hansbeke, Nevele",F1,1353087568947,1355435830510,1,Reibroekstraat,W,,F,3.523592,51.070242,"{""type"":""Point"",""coordinates"":[3.52359,51.07024]}"
3,"3,5t",C21,1353087573104,1355435830510,1,Driesstraat,N,Uitgezonderd plaatselijk verkeer,C,3.523417,51.070185,"{""type"":""Point"",""coordinates"":[3.52342,51.07019]}"
4,,B17,1353087929512,1355435830510,1,Reibroekstraat,W,,B,3.526654,51.071031,"{""type"":""Point"",""coordinates"":[3.52665,51.07103]}"
5,"3,5t",C21,1353088013427,1355435830510,1,Nieuwetuinstraat,N,Uitgezonderd plaatselijk verkeer,C,3.527049,51.070997,"{""type"":""Point"",""coordinates"":[3.52705,51.071]}"
6,"Hansbeke, Nevele",F3a,1353088076144,1355435830510,1,Nieuwetuinstraat,N,,F,3.527054,51.070994,"{""type"":""Point"",""coordinates"":[3.52705,51.07099]}"
7,"Hansbeke, Nevele",F1,1353088130690,1355435830510,1,Nieuwetuinstraat,S,,F,3.527124,51.071021,"{""type"":""Point"",""coordinates"":[3.52712,51.07102]}"
8,,D1d,1353088202796,1356036931130,1,Kapellenstraat,W,,D,3.530463,51.071464,"{""type"":""Point"",""coordinates"":[3.53046,51.07146]}"
9,,D1d,1353088205139,1356036933933,1,Kapellenstraat,E,,D,3.530549,51.071405,"{""type"":""Point"",""coordinates"":[3.53055,51.0714]}"
10,,C3,1353088290174,1356037322635,1,Ommegangstraat,W,Uitgezonderd plaatselijk verkeer; M3,C,3.531458,51.071578,"{""type"":""Point"",""coordinates"":[3.53146,51.07158]}"
11,,B17,1353088425447,1355435830510,1,Reibroekstraat,S,,B,3.532392,51.07285,"{""type"":""Point"",""coordinates"":[3.53239,51.07285]}"
12,,E7,1353088763023,1355435830510,1,Reibroekstraat,W,E0d,E,3.534602,51.073345,"{""type"":""Point"",""coordinates"":[3.5346,51.07335]}"
13,,A41,1353088773013,1355435830510,1,Reibroekstraat,W,90 m,A,3.534522,51.073363,"{""type"":""Point"",""coordinates"":[3.53452,51.07336]}"
14,,B15f,1353088775162,1356035451313,1,Reibroekstraat,W,,B,3.534486,51.073369,"{""type"":""Point"",""coordinates"":[3.53449,51.07337]}"
15,,B17,1353088956458,1355435830510,1,Reibroekstraat,W,,B,3.535528,51.073129,"{""type"":""Point"",""coordinates"":[3.53553,51.07313]}"
16,,E5,1353090924345,1355435830510,1,Reibroekstraat,E,E0b,E,3.5337,51.07359,"{""type"":""Point"",""coordinates"":[3.5337,51.07359]}"
17,,E7,1353091077078,1355435830510,1,Reibroekstraat,W,E0a,E,3.53369,51.07353,"{""type"":""Point"",""coordinates"":[3.53369,51.07353]}"
18,,B17,1353091223040,1355435830510,1,Reibroekstraat,W,,B,3.529854,51.071481,"{""type"":""Point"",""coordinates"":[3.52985,51.07148]}"
19,,B17,1353355173563,1355435830510,1,Driesstraat,S,,B,3.523554,51.070094,"{""type"":""Point"",""coordinates"":[3.52355,51.07009]}"
20,,B17,1353355263741,1355435830510,1,Driesstraat,N,,B,3.524844,51.06628,"{""type"":""Point"",""coordinates"":[3.52484,51.06628]}"
21,Spelende kinderen,,1353356051443,1355435830510,1,Borluutlaan,E,,,3.532126,51.072914,"{""type"":""Point"",""coordinates"":[3.53213,51.07291]}"
22,,B17,1353356139277,1355435830510,1,Reibroekstraat,N,,B,3.532453,51.07309,"{""type"":""Point"",""coordinates"":[3.53245,51.07309]}"
23,,E5,1353356253286,1355435830510,1,Reibroekstraat,E,E0d,E,3.534632,51.07339,"{""type"":""Point"",""coordinates"":[3.53463,51.07339]}"
24,,E5,1353356764497,1355435830510,1,Reibroekstraat,E,E0a,E,3.535573,51.073187,"{""type"":""Point"",""coordinates"":[3.53557,51.07319]}"
25,,B15c,1353356864779,1356035475784,1,Reibroekstraat,E,,B,3.535635,51.07317,"{""type"":""Point"",""coordinates"":[3.53564,51.07317]}"
26,,A47,1353356963617,1355435830510,1,Nevelestraat,W,,A,3.535844,51.073143,"{""type"":""Point"",""coordinates"":[3.53584,51.07314]}"
27,,A47,1353356965606,1355435830510,1,Nevelestraat,S,,A,3.535844,51.073131,"{""type"":""Point"",""coordinates"":[3.53584,51.07313]}"
28,,A47,1353356987544,1355435830510,1,Nevelestraat,S,,A,3.535696,51.073168,"{""type"":""Point"",""coordinates"":[3.5357,51.07317]}"
29,,A47,1353357006324,1355435830510,1,Hansbekedorp,N,,A,3.535881,51.073257,"{""type"":""Point"",""coordinates"":[3.53588,51.07326]}"
30,,A47,1353357042078,1355435830510,1,Hansbekedorp,N,,A,3.535718,51.073286,"{""type"":""Point"",""coordinates"":[3.53572,51.07329]}"
31,,B9,1353357191718,1355435830510,1,Nevelestraat,S,,B,3.535852,51.073089,"{""type"":""Point"",""coordinates"":[3.53585,51.07309]}"
32,Spelende kinderen,,1353357376732,1355435830510,1,Borluutlaan,N,,,3.531295,51.073928,"{""type"":""Point"",""coordinates"":[3.5313,51.07393]}"
